disposition,file,line,context
FULL_STACK_TESTED_CLOSED,docs/migrations/M82_RESULT.md,88, - `PROMOTED_FOUNDATION`: 5 - `FULL_STACK_TESTED_CLOSED`: 7 - `SIGNAL_SCREEN_FAILED`: 11 - `SOURCE_BLOCKED_NEW_INFORMATION_REQUIRED`: 4
SIGNAL_SCREEN_FAILED,docs/migrations/M82_RESULT.md,89,- `PROMOTED_FOUNDATION`: 5 - `FULL_STACK_TESTED_CLOSED`: 7 - `SIGNAL_SCREEN_FAILED`: 11 - `SOURCE_BLOCKED_NEW_INFORMATION_REQUIRED`: 4 
DEFENSIVE_ADAPTATION_MECHANISM_QUALIFIED,docs/migrations/M83_DEFENSIVE_ADAPTIVE_GAMEPLAN_AUDIT.md,175,"For each deployable FTN response metric, report MAE, RMSE and correlation.  `DEFENSIVE_ADAPTATION_MECHANISM_QUALIFIED` requires:  - source/density gates pass;"
HOLD_SOURCE_BLOCKED_NEW_INFORMATION,docs/migrations/M84_RESULT.md,5,"## Disposition  `HOLD_SOURCE_BLOCKED_NEW_INFORMATION`  Migration 84 completed the frozen `TOP_WEAPON_ESCAPE_HATCH` source/feasibility audit successfully. The football hypothesis remains plausible, but no free source candidate satisfied the complete historical + in-season + machine-readable + receiver/defender-responsibility contract required for a legitimate predictive test."
QUALIFIED_FOR_M85_PREDICTIVE_DEVELOPMENT,docs/migrations/M84_TOP_WEAPON_ESCAPE_HATCH_SOURCE_AUDIT.md,96,Exactly one of:  - `QUALIFIED_FOR_M85_PREDICTIVE_DEVELOPMENT` - `HOLD_SOURCE_BLOCKED_NEW_INFORMATION` - `CLOSED_NO_MATERIALLY_NEW_SOURCE`
HOLD_SOURCE_BLOCKED_NEW_INFORMATION,docs/migrations/M84_TOP_WEAPON_ESCAPE_HATCH_SOURCE_AUDIT.md,97, - `QUALIFIED_FOR_M85_PREDICTIVE_DEVELOPMENT` - `HOLD_SOURCE_BLOCKED_NEW_INFORMATION` - `CLOSED_NO_MATERIALLY_NEW_SOURCE` 
CLOSED_NO_MATERIALLY_NEW_SOURCE,docs/migrations/M84_TOP_WEAPON_ESCAPE_HATCH_SOURCE_AUDIT.md,98,"- `QUALIFIED_FOR_M85_PREDICTIVE_DEVELOPMENT` - `HOLD_SOURCE_BLOCKED_NEW_INFORMATION` - `CLOSED_NO_MATERIALLY_NEW_SOURCE`  If no free source satisfies the complete historical + live + matchup-specific contract, M84 must stop. A later revisit requires a genuinely new source, not another transformation of M72/M75 data."
HOLD_SOURCE_BLOCKED_NEW_INFORMATION,docs/migrations/M85_RESULT.md,5,"## Disposition  `HOLD_SOURCE_BLOCKED_NEW_INFORMATION`  Migration 85 completed the frozen `TRUE_BLOCKER_X_TRUE_RUSHER_ASSIGNMENT` source/feasibility audit successfully. Exact who-blocked-who information is scientifically available in NFL tracking/competition systems, but no free source satisfied the complete multi-season historical + in-season + machine-readable contract required for a legitimate QB predictive test."
QUALIFIED_FOR_M86_PREDICTIVE_DEVELOPMENT,docs/migrations/M85_TRUE_BLOCKER_RUSHER_SOURCE_AUDIT.md,70,## Frozen dispositions  - `QUALIFIED_FOR_M86_PREDICTIVE_DEVELOPMENT` - `HOLD_SOURCE_BLOCKED_NEW_INFORMATION` - `CLOSED_NO_MATERIALLY_NEW_SOURCE`
HOLD_SOURCE_BLOCKED_NEW_INFORMATION,docs/migrations/M85_TRUE_BLOCKER_RUSHER_SOURCE_AUDIT.md,71, - `QUALIFIED_FOR_M86_PREDICTIVE_DEVELOPMENT` - `HOLD_SOURCE_BLOCKED_NEW_INFORMATION` - `CLOSED_NO_MATERIALLY_NEW_SOURCE` 
CLOSED_NO_MATERIALLY_NEW_SOURCE,docs/migrations/M85_TRUE_BLOCKER_RUSHER_SOURCE_AUDIT.md,72,"- `QUALIFIED_FOR_M86_PREDICTIVE_DEVELOPMENT` - `HOLD_SOURCE_BLOCKED_NEW_INFORMATION` - `CLOSED_NO_MATERIALLY_NEW_SOURCE`  If no source qualifies, M86 predictive development is not opened."
PASS_FUNNEL_SHORT_INTERMEDIATE_VOLUME,docs/migrations/M88_2023_LOW_CHAOS_REGIME_REPLICATION.md,30,Thresholds are the midpoint between the M87 target mean and matched-control mean for each of the four preregistered stable differentiators. They are frozen before 2023 is scored.  ### PASS_FUNNEL_SHORT_INTERMEDIATE_VOLUME  A 2023 QB-game is in the volume regime only when both are true:
NOT_REPLICATED_2023,docs/migrations/M88_2023_LOW_CHAOS_REGIME_REPLICATION.md,94, - `REPLICATED_2023` - `NOT_REPLICATED_2023` - `INSUFFICIENT_2023_COVERAGE` 
INSUFFICIENT_2023_COVERAGE,docs/migrations/M88_2023_LOW_CHAOS_REGIME_REPLICATION.md,95,- `REPLICATED_2023` - `NOT_REPLICATED_2023` - `INSUFFICIENT_2023_COVERAGE`  Overall M88 disposition:
M87_REGIMES_NOT_REPLICATED,docs/migrations/M88_2023_LOW_CHAOS_REGIME_REPLICATION.md,100, - `M87_REGIME_REPLICATION_CONFIRMED` if at least one frozen regime replicates; - `M87_REGIMES_NOT_REPLICATED` if neither replicates; - `M88_SOURCE_OR_COHORT_FAILURE` if a clean 2023 current-stack cohort cannot be reconstructed. 
M88_SOURCE_OR_COHORT_FAILURE,docs/migrations/M88_2023_LOW_CHAOS_REGIME_REPLICATION.md,101,- `M87_REGIME_REPLICATION_CONFIRMED` if at least one frozen regime replicates; - `M87_REGIMES_NOT_REPLICATED` if neither replicates; - `M88_SOURCE_OR_COHORT_FAILURE` if a clean 2023 current-stack cohort cannot be reconstructed.  Only a replicated regime may graduate to a later preregistered full-stack predictive correction test. M88 itself is not production actionable.
M87_REGIMES_NOT_REPLICATED,docs/migrations/M88_RESULT.md,5,"## Disposition  `M87_REGIMES_NOT_REPLICATED`  Migration 88 completed the preregistered untouched-2023 confirmation of the two conditional pregame regimes isolated by M87. The full current production-style historical stack was rebuilt for 2023 Weeks 1-18 from 2022 plus strictly-prior 2023 information at 2,000 Monte Carlo iterations."
PASS_FUNNEL_SHORT_INTERMEDIATE_VOLUME,docs/migrations/M88_RESULT.md,45,Thresholds were frozen from the midpoint of M87 target/control means before 2023 outcomes were opened.  ### PASS_FUNNEL_SHORT_INTERMEDIATE_VOLUME  - opponent defense prior 8-game pass rate faced `>= 0.6062143950065955`
NOT_REPLICATED_2023,docs/migrations/M88_RESULT.md,90,"- bootstrap support: 0.6775 versus the frozen 0.70 requirement  Final status: `NOT_REPLICATED_2023`.  The regime shows directionally coherent 2023 evidence, including a 4.26x rare-event ratio and more positive attempt residuals, but the preregistered magnitude/support bar was not met. Thresholds must not be relaxed post hoc."
FORCED_PASS_VOLUME,docs/migrations/M89_QB_DATA_INTEGRITY_CASEBOOK_SYNTHESIS.md,181,"Assign one primary forensic label using transparent deterministic rules, with `MIXED` fallback:  - `FORCED_PASS_VOLUME` - `VOLUNTARY_PASS_VOLUME` - `UNEXPECTED_LOW_VOLUME`"
VOLUNTARY_PASS_VOLUME,docs/migrations/M89_QB_DATA_INTEGRITY_CASEBOOK_SYNTHESIS.md,182, - `FORCED_PASS_VOLUME` - `VOLUNTARY_PASS_VOLUME` - `UNEXPECTED_LOW_VOLUME` - `SUSTAINED_EFFICIENCY_EXPLOSION`
TE_PARTICIPATION_ENTITLEMENT_V1_PASS,docs/migrations/PROJECT_CONTINUITY_DELTA_2026-09-07_1146.md,17,- OOS player-games: `3214` - Test seasons: 2023-2025 - Disposition: `TE_PARTICIPATION_ENTITLEMENT_V1_PASS` - Result documentation commit on TE-R5 branch: `6aea5286296d01746b64ca2a08b64a688db60675` 
QB_PASS_SYNTHESIS_V1,docs/migrations/PROJECT_CONTINUITY_LATEST.md,43, ### QB - Production mean: `QB_PASS_SYNTHESIS_V1` / M89-M90 synthesis. - M89 run `33331073376`. - M90 prospective confirmation run `33333730480`.
CONSERVATION_ONLY_SUPPORTED,docs/migrations/PROJECT_CONTINUITY_LATEST.md,84,- artifact `10004223287` - digest `sha256:753aa191e6c80a059918553d8567499c9cdbce82b12a26b4d5b19b21225764ac` - disposition: `CONSERVATION_ONLY_SUPPORTED`  C2 conservation result on exact 884 M89/M90 QB-games:
PASS_RECEIVING_CONSERVATION_INTEGRATION_V1_PLAN,docs/migrations/PROJECT_CONTINUITY_LATEST.md,102, Branch: `research-pass-receiving-conservation-integration-v1` Frozen plan: `docs/migrations/PASS_RECEIVING_CONSERVATION_INTEGRATION_V1_PLAN.md`  Initial full-stack integration run:
STRICT_PRIOR_NGS_FEATURES_ELIGIBLE,docs/migrations/PROJECT_CONTINUITY_LATEST.md,162,### WR-R10 NGS source eligibility - run `34123975300` - disposition `STRICT_PRIOR_NGS_FEATURES_ELIGIBLE` - strict-prior NGS eligible rows `10427` (2021-2025) - prior-1 coverage `86.33%`
WR_NGS_TARGET_MODEL_FAIL,docs/migrations/PROJECT_CONTINUITY_LATEST.md,176,- digest `sha256:388973f0fc67c6a2f0e4868a7c874d310ff7711cd7b0a6fb38c74128dcd43370` - eligible OOS rows `6383` - disposition `WR_NGS_TARGET_MODEL_FAIL`  Important numbers:
TE_TARGET_POOL_CONTEXT_MODEL_FAIL,docs/migrations/PROJECT_CONTINUITY_LATEST.md,221,"- digest `sha256:99699c7e4745ab8cf678b527fc57325c5f402a5c7be930ff9cb90dba96e63ff8` - result commit `16747b8a0194dceaabd280d131e22d3281530d94` - disposition `TE_TARGET_POOL_CONTEXT_MODEL_FAIL`  It improved team TE-pool MAE `2.604965 -> 2.293122` and player target MAE `1.666440 -> 1.605626`, but receiving-yard MAE worsened `16.183617 -> 16.339728`. Correction was positive in `99.48%` of games. It learned a generic underprojection correction, not sufficiently player-specific game behavior."
ATTEMPT_SEMANTICS_CANDIDATE_FAIL,docs/migrations/PROJECT_CONTINUITY_LATEST.md,270," Canonical repaired run `34077637287`, job `101606772786`, SHA `d5f0ba8af56caa28f8665fbea15d74885e09a65c`, artifact `10002832205`. Disposition: `ATTEMPT_SEMANTICS_CANDIDATE_FAIL`.  - team targets `6.3014 -> 6.1874`"
QB_PASS_SYNTHESIS_V1,docs/migrations/QB_PD3_INTERNAL_DISAGREEMENT_RELIABILITY_PLAN.md,7," ## Lineage - Production QB mean: `QB_PASS_SYNTHESIS_V1` (M89/M90). - Week-1 pathology audit: `QB_W1_INDIVIDUAL_PROJECTION_PATHOLOGY`, canonical run `34064097525`. - Player-error persistence: `QB_PD2_PLAYER_ERROR_PERSISTENCE`, canonical run `34064528914`, disposition `NO_ACTIONABLE_QB_PLAYER_ERROR_PERSISTENCE`."
QB_INTERNAL_RELIABILITY_STATE_SUPPORTED,docs/migrations/QB_PD3_INTERNAL_DISAGREEMENT_RELIABILITY_PLAN.md,34," ## Disposition If any state passes: `QB_INTERNAL_RELIABILITY_STATE_SUPPORTED`, authorizing a separate frozen synthesis-trust candidate only. If none pass: `NO_ACTIONABLE_QB_INTERNAL_RELIABILITY_STATE`. No nearby threshold search.  ## Production"
RB_R22_WEEK1_RECEIVING_TAIL_PRODUCTION_INTEGRATION_PASS,docs/migrations/RB_R22_WEEK1_RECEIVING_TAIL_PRODUCTION_INTEGRATION_V1_RESULT.md,12,Artifact name: `rb-r22-week1-production-integration-v2` Artifact digest: `sha256:2391bd9914e9d0029c63529829496fb9b462d008bdcc3f8c37bb3e1079580bd1` Disposition: `RB_R22_WEEK1_RECEIVING_TAIL_PRODUCTION_INTEGRATION_PASS` PASS: true 
RB_R22_WEEK1_RECEIVING_TAIL_PRODUCTION_ADAPTER_PASS,docs/migrations/RB_R22_WEEK1_RECEIVING_TAIL_PRODUCTION_INTEGRATION_V1_RESULT.md,39,## Production adapter result  Disposition: `RB_R22_WEEK1_RECEIVING_TAIL_PRODUCTION_ADAPTER_PASS`  - football RB rows: 94
RB_R22_WEEK1_RECEIVING_TAIL_PRICING_LINEAGE_PASS,docs/migrations/RB_R22_WEEK1_RECEIVING_TAIL_PRODUCTION_INTEGRATION_V1_RESULT.md,79,## Pricing lineage result  Disposition: `RB_R22_WEEK1_RECEIVING_TAIL_PRICING_LINEAGE_PASS`  - adapted player keys: 94
CURRENT_PLAYER_AVAILABILITY_PRODUCTION_BRANCH_VERIFY_PASS_READY_FOR_MAIN_PROMOTION,docs/operations/CURRENT_PLAYER_AVAILABILITY_POST_PROMOTION_CI_P3_TEST_CONTRACT_REPAIR_V1.md,19,- child artifact `10160594516` - child digest `sha256:656a2ede23db107002abf75dcb568ecf26afcabc987f3b0b1bbdeba1a568e7db` - disposition `CURRENT_PLAYER_AVAILABILITY_PRODUCTION_BRANCH_VERIFY_PASS_READY_FOR_MAIN_PROMOTION`.  Clean-main no-odds Full Slate:
CURRENT_PLAYER_AVAILABILITY_PRODUCTION_BRANCH_VERIFY_MECHANICAL_FAILURE_NO_DECISION,docs/operations/CURRENT_PLAYER_AVAILABILITY_PRODUCTION_BRANCH_RUN1_AUDIT_COMPAT_MECHANICAL_REPAIR_V1.md,25,- no main promotion occurred  Disposition for this run remains `CURRENT_PLAYER_AVAILABILITY_PRODUCTION_BRANCH_VERIFY_MECHANICAL_FAILURE_NO_DECISION` pending repaired verification.  ## Reproduced root cause
CURRENT_PLAYER_AVAILABILITY_PRODUCTION_BRANCH_VERIFY_PASS_READY_FOR_MAIN_PROMOTION,docs/operations/CURRENT_PLAYER_AVAILABILITY_PRODUCTION_BRANCH_RUN1_AUDIT_COMPAT_MECHANICAL_REPAIR_V1.md,75,5. preserve the first repaired verification result exactly.  Only `CURRENT_PLAYER_AVAILABILITY_PRODUCTION_BRANCH_VERIFY_PASS_READY_FOR_MAIN_PROMOTION` may authorize promotion to `main`.
CURRENT_PLAYER_AVAILABILITY_PRODUCTION_BRANCH_VERIFY_MECHANICAL_FAILURE_NO_DECISION,docs/operations/CURRENT_PLAYER_AVAILABILITY_PRODUCTION_BRANCH_RUN2_R22_DISPOSITION_MECHANICAL_REPAIR_V1.md,13,- digest: `sha256:0f24bbf30094aaf8e22133eb70669d7f4e29275faa0d9b29ae48c051e66d6c14` - conclusion: `FAILURE` - disposition: `CURRENT_PLAYER_AVAILABILITY_PRODUCTION_BRANCH_VERIFY_MECHANICAL_FAILURE_NO_DECISION`.  Canonical child Full Slate:
RB_R22_PRODUCTION_TAIL_INTEGRATION_PASS,docs/operations/CURRENT_PLAYER_AVAILABILITY_PRODUCTION_BRANCH_RUN2_R22_DISPOSITION_MECHANICAL_REPAIR_V1.md,27, The dynamic verifier `scripts/operations/run_current_availability_production_verify_v1.py` rejected the R22 audit solely because its literal accepted-disposition set contained only: - `RB_R22_PRODUCTION_TAIL_INTEGRATION_PASS` - `R22_PRODUCTION_TAIL_INTEGRATION_PASS`. 
R22_PRODUCTION_TAIL_INTEGRATION_PASS,docs/operations/CURRENT_PLAYER_AVAILABILITY_PRODUCTION_BRANCH_RUN2_R22_DISPOSITION_MECHANICAL_REPAIR_V1.md,28,The dynamic verifier `scripts/operations/run_current_availability_production_verify_v1.py` rejected the R22 audit solely because its literal accepted-disposition set contained only: - `RB_R22_PRODUCTION_TAIL_INTEGRATION_PASS` - `R22_PRODUCTION_TAIL_INTEGRATION_PASS`.  The successful child emitted the canonical production R22 adapter disposition:
RB_R22_WEEK1_RECEIVING_TAIL_PRODUCTION_ADAPTER_PASS,docs/operations/CURRENT_PLAYER_AVAILABILITY_PRODUCTION_BRANCH_RUN2_R22_DISPOSITION_MECHANICAL_REPAIR_V1.md,31, The successful child emitted the canonical production R22 adapter disposition: `RB_R22_WEEK1_RECEIVING_TAIL_PRODUCTION_ADAPTER_PASS`.  That child R22 audit simultaneously reported:
CURRENT_PLAYER_AVAILABILITY_PRODUCTION_BRANCH_VERIFY_PASS_READY_FOR_MAIN_PROMOTION,docs/operations/CURRENT_PLAYER_AVAILABILITY_PRODUCTION_BRANCH_RUN2_R22_DISPOSITION_MECHANICAL_REPAIR_V1.md,52,## Run3 decision rule  Run2 remains immutable mechanical evidence. Run3 must rerun the exact no-odds branch verification from a clean checkout. Any subsequent mechanical failure is preserved separately. Any semantic/scientific invariant failure means no promotion. Only `CURRENT_PLAYER_AVAILABILITY_PRODUCTION_BRANCH_VERIFY_PASS_READY_FOR_MAIN_PROMOTION` may authorize main promotion.
CURRENT_PLAYER_AVAILABILITY_FULL_SLATE_INTEGRATION_PASS_READY_FOR_PROMOTION,docs/operations/CURRENT_PLAYER_AVAILABILITY_PRODUCTION_PROMOTION_V1_FROZEN_PLAN.md,17,- finalized result artifact `10146675272` - finalized result digest `sha256:dcc0fec6f07c62542e7115a49c1c45e9a185d18fd3baa2e423e0bd3dd08d0286` - disposition `CURRENT_PLAYER_AVAILABILITY_FULL_SLATE_INTEGRATION_PASS_READY_FOR_PROMOTION` - passed gates `35/35` - production promoted in certification result: `false`
CURRENT_PLAYER_AVAILABILITY_PRODUCTION_BRANCH_VERIFY_MECHANICAL_FAILURE_NO_DECISION,docs/operations/CURRENT_PLAYER_AVAILABILITY_PRODUCTION_PROMOTION_V1_IMPLEMENTATION_LOCK.md,31,- main promotion did not occur.  Run1 disposition: `CURRENT_PLAYER_AVAILABILITY_PRODUCTION_BRANCH_VERIFY_MECHANICAL_FAILURE_NO_DECISION`.  ## Frozen Run1 minimum repair authority
RB_R22_WEEK1_RECEIVING_TAIL_PRODUCTION_ADAPTER_PASS,docs/operations/CURRENT_PLAYER_AVAILABILITY_PRODUCTION_PROMOTION_V1_IMPLEMENTATION_LOCK.md,61,"- conclusion `SUCCESS`.  The Run1 audit-compatibility repair therefore succeeded. Run2 then failed only in the dynamic verifier because its accepted R22 disposition literals omitted the canonical production adapter disposition `RB_R22_WEEK1_RECEIVING_TAIL_PRODUCTION_ADAPTER_PASS`. The child R22 audit itself reported `integration_valid=true`, zero sportsbook inputs, zero current/future outcomes, all R22 gates true, and `max_mean_delta=3.552713678800501e-15`.  Run2 disposition: `CURRENT_PLAYER_AVAILABILITY_PRODUCTION_BRANCH_VERIFY_MECHANICAL_FAILURE_NO_DECISION`."
CURRENT_PLAYER_AVAILABILITY_PRODUCTION_BRANCH_VERIFY_PASS_READY_FOR_MAIN_PROMOTION,docs/operations/CURRENT_PLAYER_AVAILABILITY_PRODUCTION_PROMOTION_V1_IMPLEMENTATION_LOCK.md,127,The already-played NE-SEA Week 1 game is expected to remain `KICKED_OFF_LOCKED` and withheld from current production eligibility. Sportsbook remains disabled for this verification.  Only `CURRENT_PLAYER_AVAILABILITY_PRODUCTION_BRANCH_VERIFY_PASS_READY_FOR_MAIN_PROMOTION` authorizes a subsequent promotion to `main`. Any new mechanical failure must be preserved and repaired under a separately frozen minimum repair. Any semantic/scientific invariant failure means no promotion.
CURRENT_PLAYER_AVAILABILITY_PRODUCTION_BRANCH_VERIFY_PASS_READY_FOR_MAIN_PROMOTION,docs/operations/CURRENT_PLAYER_AVAILABILITY_PRODUCTION_VERIFY_V1_FROZEN_PLAN.md,58, Allowed branch-verification terminal results: - `CURRENT_PLAYER_AVAILABILITY_PRODUCTION_BRANCH_VERIFY_PASS_READY_FOR_MAIN_PROMOTION` - `CURRENT_PLAYER_AVAILABILITY_PRODUCTION_BRANCH_VERIFY_MECHANICAL_FAILURE_NO_DECISION` - `CURRENT_PLAYER_AVAILABILITY_PRODUCTION_BRANCH_VERIFY_SEMANTIC_FAILURE_NO_PROMOTION`
CURRENT_PLAYER_AVAILABILITY_PRODUCTION_BRANCH_VERIFY_MECHANICAL_FAILURE_NO_DECISION,docs/operations/CURRENT_PLAYER_AVAILABILITY_PRODUCTION_VERIFY_V1_FROZEN_PLAN.md,59,Allowed branch-verification terminal results: - `CURRENT_PLAYER_AVAILABILITY_PRODUCTION_BRANCH_VERIFY_PASS_READY_FOR_MAIN_PROMOTION` - `CURRENT_PLAYER_AVAILABILITY_PRODUCTION_BRANCH_VERIFY_MECHANICAL_FAILURE_NO_DECISION` - `CURRENT_PLAYER_AVAILABILITY_PRODUCTION_BRANCH_VERIFY_SEMANTIC_FAILURE_NO_PROMOTION` 
CURRENT_PLAYER_AVAILABILITY_PRODUCTION_BRANCH_VERIFY_SEMANTIC_FAILURE_NO_PROMOTION,docs/operations/CURRENT_PLAYER_AVAILABILITY_PRODUCTION_VERIFY_V1_FROZEN_PLAN.md,60,- `CURRENT_PLAYER_AVAILABILITY_PRODUCTION_BRANCH_VERIFY_PASS_READY_FOR_MAIN_PROMOTION` - `CURRENT_PLAYER_AVAILABILITY_PRODUCTION_BRANCH_VERIFY_MECHANICAL_FAILURE_NO_DECISION` - `CURRENT_PLAYER_AVAILABILITY_PRODUCTION_BRANCH_VERIFY_SEMANTIC_FAILURE_NO_PROMOTION`  Any mechanical failure must be preserved and minimally repaired under a separately frozen repair. A semantic/scientific invariant failure means no promotion. Only the PASS disposition may authorize a subsequent main promotion and clean-main verification.
QB_PASS_SYNTHESIS_V1,docs/production/QB_PASS_SYNTHESIS_V1.md,5,## Status  `QB_PASS_SYNTHESIS_V1` is the promoted football-only QB passing-yards mean architecture for 2026 prospective production use.  Broad QB mean-projection research is frozen after M90. Future QB work should focus on production readiness and explicitly separated distribution/tail calibration unless new independent information becomes available.
RETROSPECTIVE_MIXED_OR_FAIL_NO_SHADOW,docs/production/RB_R26_RECEPTIONS_PRODUCTION_INTEGRATION_V1_FROZEN_PLAN.md,32," R26 historical/prospective lineage is preserved, including failures: - R26 parent: run `34356222339`, artifact `10106271075`, digest `sha256:607fca6e11c301ecb2a3bf74e3dfea8ae415bb33cf3c150a6d89eaedada2809e`, 19/20, disposition `RETROSPECTIVE_MIXED_OR_FAIL_NO_SHADOW`. - R26E Week-1 qualification: run `34368268224`, artifact `10110785184`, digest `sha256:2b64fe25a1024136f2bb2cdde42bc74de290b6b9df63b4bb6cd675f6095b8bb7`, 19/20; 2021-2025 Week 1 improved, 2020 Week 1 was harmful. - R26J/R26K established that 2020 was distinct but did not justify an outcome-fit router or a special 2020 exclusion rule."
RB_R26_WEEK1_RECEPTIONS_PRODUCTION_INTEGRATION_PASS_READY_FOR_PROMOTION,docs/production/RB_R26_RECEPTIONS_PRODUCTION_INTEGRATION_V1_FROZEN_PLAN.md,161,33. no same-week outcome data used; 34. workflow can run from a clean checkout with repo-pinned production assets; 35. final authority disposition is exactly `RB_R26_WEEK1_RECEPTIONS_PRODUCTION_INTEGRATION_PASS_READY_FOR_PROMOTION`.  ## Failure disposition
RB_R26_WEEK1_RECEPTIONS_PRODUCTION_INTEGRATION_FAIL_NO_PROMOTION,docs/production/RB_R26_RECEPTIONS_PRODUCTION_INTEGRATION_V1_FROZEN_PLAN.md,165,## Failure disposition  Any failed gate => `RB_R26_WEEK1_RECEPTIONS_PRODUCTION_INTEGRATION_FAIL_NO_PROMOTION`.  A failure is preserved. Mechanical failures may receive only a separately documented value-neutral repair; scientific/contract failures may not be relabeled.
RB_R26_WEEK1_RECEPTIONS_PRODUCTION_INTEGRATION_PASS_READY_FOR_PROMOTION,docs/production/RB_R26_RECEPTIONS_PRODUCTION_INTEGRATION_V1_IMPLEMENTATION_LOCK.md,84, Expected PASS disposition: `RB_R26_WEEK1_RECEPTIONS_PRODUCTION_INTEGRATION_PASS_READY_FOR_PROMOTION`  Expected FAIL disposition:
RB_R26_WEEK1_RECEPTIONS_PRODUCTION_INTEGRATION_FAIL_NO_PROMOTION,docs/production/RB_R26_RECEPTIONS_PRODUCTION_INTEGRATION_V1_IMPLEMENTATION_LOCK.md,87, Expected FAIL disposition: `RB_R26_WEEK1_RECEPTIONS_PRODUCTION_INTEGRATION_FAIL_NO_PROMOTION`
RB_R26_WEEK1_RECEPTIONS_PRODUCTION_INTEGRATION_PASS_READY_FOR_PROMOTION,docs/production/RB_R26_RECEPTIONS_PRODUCTION_INTEGRATION_V2_FROZEN_PLAN.md,98,33. no same-week outcome data; 34. clean-checkout execution using repo-pinned assets; 35. disposition exactly `RB_R26_WEEK1_RECEPTIONS_PRODUCTION_INTEGRATION_PASS_READY_FOR_PROMOTION`.  ## Failure disposition
